reviewer_name,review_title,review_content,rating,review_date
Adriana Harry,It's just impossible to get hold of…,"It's just impossible to get hold of Microsoft or even to send them an email.  We have been spending all day to try to contact them, in the meantime they are taking money for a service I'm not receiving, we have never agreed to this. Microsoft please contact me urgently,  I am scammed and have reported this to the police.",1,2025-06-16T19:02:32.000Z
Fritz Struve,No  Phone support call back,"I have been trying to reach MS support for Outlook for 2 days  with repeated service request.  I did get a phone response -a 2 second call back with the  an immediate disconnect.Cha support is no longer available.  All requests revert to pone call back ""sometime"". In the past ver  happy with support.  Now impossible to even get a completed call back",1,2025-06-14T16:47:59.000Z
Andy Bateson,Woeful support,"Woeful support. I've been without OneDrive for three weeks. When I ring up seeking an update, I spend over 40 minutes waiting for them to pick up, and when they do, they just put the phone down.If anyone with a brain at MS reads this, give SR 7076554821 a look at and sort it out.",1,2025-06-12T15:58:27.000Z
stephen Giltinan,Absolutely useless,Absolutely useless . Don’t ever expect support to call you .. they will however close out your request and say it’s sorted . Cannot use my Microsoft surface pro because they have 0 idea what they are talking about and 0 interest in trying to fix .,1,2025-06-12T08:38:18.000Z
asiakas,365 license problem -- it seems that…,"365 license problem -- it seems that they can't fix it. My license is valid and I change the password in account. The license fade somewhere -- so I pay for license and I can't use it. They tried that screen system tsek, but I deny. Problem is still on. We don't have common language, support language is very poor!",1,2025-06-12T07:57:09.000Z
Berlinerin,My Microsoft 365 1 user,"My Microsoft 365 1 user,  was renewed with an whopping $99.99  (instead of $ 69.99 annually)! WITHOUT my consent or agreement to do so!Customers service in India,  is a waste of Time,  calls are getting disconnected,  they are really not interested in helping any body!  What is with American based customer support? So be aware,  if you subscribe to the renewal online,  you will have nothing others than ""sorry""  and a lot of wasted time in phone calls,  with unqualified and ""but"" Indian bases customer service reps. Congratulations Microsoft any other business would be charged with ""FRAUD""!",1,2025-06-12T00:39:31.000Z
Bill,Microsoft locks me out of my hotmail…,"Microsoft locks me out of my hotmail accounts whenever I log in from an alternate device and/or location, has a flawed recovery system that locks you out of alternate email accounts on file to receive a code, and thus denies the customer from receiving vital MEDICAL, Business, Financial, and Social information. This becomes like a wrecking ball to a customer's career, emotions and even life in general. Even after I put in the correct username, password, captcha and puzzle solutions all immediately, Microsoft still doesn't believe it is me. I spoke to several reps by phone and got shocking responses about the ""process"" which is totally flawed and against the customer.Further - and this could be illegal - when Microsoft takes advertisers' money to reach target market customers, but does not allow the customers to access those ads, promotions, etc., then Microsoft OWES THOSE ADVERTISERS A REFUND!!! Microsoft also does not allow even its own supervisors to escalate very legitimate concerns such as these, and thus is dictatorial, disrespectful, and demeaning to its customers, advertisers and employees.I suggested several viable resolutions to the company and it politely refused. This ""extra security and protection"" on hotmail accounts should be an opt-in not a one-size-fits-all mandate with no opt-out potential.Government regulators overseeing the industry should investigate Microsoft's practices and behaviors up to and including redoing the hotmail policy, refunding advertisers monies, and stripping Microsoft of its license to operate. Class-action suits should be considered as well.Just look at all the complaints and pathetically low ratings online about this egregious behavior, how disgusting! Also, the company supervisor did not call me back for two scheduled calls (one finally did). Add arrogance to this complaint, too. Do not trust Microsoft or buy anything from it.",1,2025-06-11T21:30:46.000Z
Robin,I have a business assist subscription…,I have a business assist subscription and have been waiting over an hour just to get an agent assigned to the case and it's a critical situation.,1,2025-06-11T17:39:06.000Z
Debra  Turner,Technology doesn’t solve everything!!,"I’ve received an email regarding the purchase of a business 365 license.  I’ve not ordered it do it maybe fraudulent, or it could be genuine but sent to me in error.  I spent the best part of an hour trying to find an email address or phone number that could help me but the phone number just kept for ting to me to password reset on line.  Technology is all very well until something goes wrong and when help is needed to report potential fraud there’s nobody to turn to……pathetic",1,2025-06-11T13:39:47.000Z
Ilya Demidov,I was paying for MS 365 to have a…,"I was paying for MS 365 to have a OneDrive 1 TB space I've used for work. Last year MS got some back end issues which made synchronization between computers impossible. Which is, as you might know the whole reason of using it. I edit file. It syncs with my co-workers PC's. I've contacted support to figure out if they are going to fix it and should I extend my sub at all. I just asked support to keep it short and free of lengthy ""corpo-bullshit"" writing style. So I gotLECTUREDon how I should behave before I get supportYou lost me as a client.",1,2025-06-11T12:37:45.000Z
Edwin Cham,Microsoft Windows Support 844-590-8181 is a BIG SCAM & BIG LIE,"On May 19, 2025, my laptop's screen got hijacked by these as*hol* scammers in India, claiming they are Microsoft Windows Defender Security Center with a 844-590-8181 number.NEVER CALL this number to pay any fee to free up your screen. These jerks are scammers from India hijacking your screen & holding your frozen screen to extort money from you, acting as if they are Microsoft Support.Instead, just PRESS & HOLD ""ALT"" key, then PRESS ""F4"" key. This will shut down the bogus frozen screen & set you back to normal.I'm hoping to spread this info so these as*hol* scammers don't get a penny.NEVER CALL 844-590-8181 TO PAY. These are scammers waiting to steal your money!!!!!!",1,2025-06-10T23:48:39.000Z
Žydrūnas T.,Phone teams support is bullshit,"Phone teams support is just like bullshit, no one can help transfer phone number from skype, every day write just promises and sorry and we must just wait (1.5 month). microsoft discontinued skype and put clients with phone numbers without any solution without porting numbers to Teams.",1,2025-06-10T10:15:18.000Z
Mr O'Donohoe,The Microsoft support is unusable,"The Microsoft support is unusable. I am not even allowed to complain. There is no phone number. I have a basic account and get nothing for it, it will not let me even log in. It stops me even viewing the documents my tutor sends me. It is only there to get more money out of us. My advice to everyone else is use Google.",1,2025-06-07T19:15:30.000Z
Carlos Olivardia,The absolute worse customer service.,"Called business support and nobody can help you.  Their job is merely to take your information and forward you to the next queue that will no resolve issue and forward you to another queue.  Each person takes your contact information as if for the first time even though you have a ticket number. You bounce around the world repeating your phone number and email, restating every letter and restating your problem over and over again.  No help.  Your always told you'll be called back but that call never comes.  So you call back to no avail.",1,2025-06-06T03:44:02.000Z
John Raistrick,Hopelesly Incompitent and Couldn't care less,I developed a minor problem with Windows.  Their support team tried to resolve remotely and made things 100 times worse. I've now wasted 12 hours getting nowhere - they couldn't care less.  My pc is now totaly unusable.  They ought to hang their heads in shame - what a truly awful company to deal with. Shame on Satya Nadella and his dreadful company,1,2025-06-05T20:48:12.000Z
Asli Yilmaz Taskin,For the resellers-Charge for support…,For the resellers-Charge for support not provided. After you open a support ticket they call you back after 3 working days. They call you back but there is not any voice or sound on the line. Such a big company has the worst support centre ever!,1,2025-06-05T15:09:00.000Z
Diane Paul,Appalling customer service,"Appalling customer service. Have gone round and round in circles for two days trying to sign in to the Teams site that have taken over from Skype who I have never had any problems with as it should be straightforward to log in. No way of changing my email address to my new one. I put my old email in, they refuse to accept my password. I ask for a code, it either doesn't arrive or when it does they reject it. Over and over. I look for the code, which means I leave the page to find their email and when I return, the page has disappeared and I have to begin again. And again...etc. I am absolutely appalled at their service and consequently I am not going to use Teams as I have found another way of reaching my students and it isn't Microsoft. (Sigh of relief).",1,2025-06-04T12:43:53.000Z
Marina Madzarevic,Worst support ever,"Worst support ever.I spent 2 hours in chat with an operator and a supervisor just to get an information about refund for the free trial. During this time i had to explain over and over again something that support need to have. Delay was made intentionally to buy time. My subscrption was cancel in time all was clear, but the refund didnt happend. Than I was told i dont have right on refund because I my subscription expired! Cancelled on time but I dont have right on it! If I cancel the subscription 3 days after activating it its IMPLICIT that i dont want to pay for it. Or there is no free trial or its a fraud. That is the only conclusion. In case i dont get my money back, I will go trough my bank asking refund for fraudulent activity.",1,2025-06-05T18:54:38.000Z
Franek janeczko,Have to wait over an hour for a live…,Have to wait over an hour for a live chat,1,2025-06-03T21:52:22.000Z
Landerik Boie,"Not bad, just not existing...",How can a serious company like this have no support mail???,1,2025-06-02T10:52:27.000Z
AF,Microsoft was mean and rude,Microsoft was mean and rude. They nade several racist remarks to me several times.I asked microsoft a question and they cited a Hitler speech and then said I should get fentanyl.A while back my xbox wasnt working. I informed Microsoft in 2024 February of this issue and they have stonewalled me ever since. Evil company. Theyre obsessed with Hitler. Do not use,1,2025-07-27T01:40:15.000Z
TonyZ,Stop being greedy over Office update charges,"I appreciate that maintaining support for old systems is expensive. I have known about the need to update from Windows 10 to Windows 11 for some time, the update is free and I have update plans in place.I only recently heard of the need to update Office Home 2019. Investigating, it seems that the preferred route is subscription to Office 365 Home. The single purchase option only covers a single system, whereas my previous single purchase of Office covered at least 2 systems (which I need). I could find no discount offered for multiple purchases. I need security updates and bug fixes. I do not want or need new features provided by the subscription service. Stop being greedy Microsoft, you just push your customers away to your competitors who offer better deals.",1,2025-07-26T14:53:33.000Z
Still Hunt,Met an agent called Mc Arthur,"Met Someone called Mc Arthur, legendary guy helped me with everything he is the best support staff i had please keep him on Webchat he is really good at his job and deserves a well done and a pat on the back good work Arthur, keep it up main man.",5,2025-07-25T21:51:30.000Z
Cardiff Red Dragon,Absolutely shocking support service,"I have been waiting for someone to reset my account for four days!!! Every time I ring, I get shunted to India only to have to constantly repeat the same information then be told someone will call me back. Its a f@#king joke!!!!!!!!!!!!!!!!!",1,2025-07-24T18:49:05.000Z
Nicholas Smith,MALWAREBYTES SUPPORT ARE HOPELESS,I have couple of support contracts with Malwarebytes and found that I had been charged twice and also at the wrong price. I contacted Support 10th June  and a ticket 8018414 was opened by JohnB. He emailed back and confirmed 11th June that there was an error and he'd sort it out - he didn't I found that inexplicably the ticket had been closed. I contacted Malwarebytes again and a new ticket - 8032792 was issued by Willy Barba. I have had confirmation that there is an overpayment and despite a number of reminders this has still not been resolved.This is very simple problem. Is everybody on vacation over there. Can't the company transfer your work over to India they would resolve this within 24 hours,1,2025-07-23T17:57:35.000Z
gr.i.m,customer support is dogwater,customer support is dogwater,1,2025-07-23T13:24:22.000Z
Dev Luke,Microsoft login is the worst thing in…,Microsoft login is the worst thing in existence. You cannot access your account quickly and constantly causes issues on third party software which even they complain about due to the amount of problems it causes for them. This is so unacceptable and Microsoft needs to seriously do a better job.,1,2025-07-23T03:37:35.000Z
James Plunkett,hopeless,Absolutely hopeless. You cant speak to a human. When you ring a bot just tells you to go to a website then hangs up.  Hard to believe they cant do better.,1,2025-07-22T11:44:51.000Z
Jeff Redmayne,What is the point of Advance Search,"I put a drawing reference into the header, Advance Search intervened and prevented data being shown beyond 25/02/25.This particular drawing has data associated with it going back 5 years.I can put another drawing reference into the header and it can go back to 2012 with all the attendant information on view.Advance Search makes no sense whatsoever.Jeff Redmayne",1,2025-07-22T08:01:07.000Z
Kay Bhardwaj,Absolutely dismal appalling customer service,"Absolutely dismal, appalling service from Shridev at Microsoft as well as his other colleagues.  Been trying to gain access to the Global Admin email account for over 3 weeks and they do not help, keep giving me different tickets, do not call back as promised and I still do not have access to the emails yet I am being charged £74 per month!  Not a single one of them has been able to assist and this is now very serious as I need access to my business emails and this has caused a lot of loss of business.  They gave me a name of a 'manager' as Raghu but he is nowhere to be found.",1,2025-07-14T16:45:40.000Z
MM,Please choose early on to just buy…,"Please choose early on to just buy again or pay double .. Avoid dealing with Microsoft support at almost any cost. I will ruin your month and set you back multiple days and give you nothing. They are crazy, AI or dumb and do NOT listen to anything.",1,2025-07-13T12:09:38.000Z
Raymond Phillips,I have a problem with MicroSoft Outlook…,I have a problem with MicroSoft Outlook Sign-on Function this morning.  I spent hours online going in circles with the online support function.  I used a third party Geek Squad -- they were not successful and hinted at others having similar issues.  I reconnected with Microsoft Support the app sent me a link to a third party contractor who charges for their support just to find out that Outlook is having a major outage.  A reputable company is much more transparent about major outages -- transparency increases customer respect and reduces the calls and contacts that will overwhelm their support function.,1,2025-07-10T16:18:52.000Z
GORDON,Kezha was very polite and helpful,"Kezha was very polite and I understood what she told me, reassured me about my concerns. I had to wait a while but worth it for the reassurance. Thanks",4,2025-07-10T14:48:51.000Z
Barrie Moss,Disgruntled OUTLOOK user.,"I have used MS successfuly for over 30 years. But recent changes to OUTLOOK email have now made the system unusable. MS have made it impossible to complain. I am now face with changing my email provider and notifying all my contacts. I have tried to adapt the new MS outlook but it's inflexible. My next PC will NOT use MS you lost a user. Barrie Moss, very disgruntled user.",1,2025-07-10T13:08:51.000Z
name,worse than roblox,same at roblox support but worse,1,2025-07-09T17:43:45.000Z
Carmel Woodwad,Appalling product and appalling service,"I do not even want to give one star but I have to click on a star to be able to write a review. APPALLING!!!!  No customer service.  Every 2 weeks my Outlook stops functioning - I can't send or receive emails. I have completed request forms for assistance in the past and never received a reply. Today I decided to call and a (presumably AI generated) message informed me that the number couldn't be connected. A jump in the subscription charge with a correspondingly shameful functionality of products.If I could get my money back and subscribe with a different product provider, I would.  Unfortunately, M/S has a monopoly and it knows it so it doesn't care.",1,2025-07-09T02:10:27.000Z
Stefan Nielsen,1 star is too much for this terrible…,"1 star is too much for this terrible company.They dont adhere to their on accessibility needs on tickets, i am hard of hearing and have tinnitus, yet they still wont stick to email communication, and constantly call me or ask to schedule availability for a call.They close tickets without any actual troubleshooting, ask to remote control your pc for no reason.And refuse to keep a ticket open for more than 5 days while awaiting end user feedback on a fix, with no understanding for the academic world where students are sometimes on holiday.0/100, microsoft support is an absolute joke.",1,2025-07-08T05:56:02.000Z
Georgia ann,If 0* was an option believe me I’d use…,If 0* was an option believe me I’d use itI sent a controller in for repair or replacement as it came broken I sent it on the 1st of may they told me 30! Days and it would be back here either fixed or a replacement I called them on the 1st June for an update as I’d not heard anything was told they cancelled my order due to a blip on the system I’d be called back in 2 days with an update I told them I want everything they said in writing they told me they couldn’t do this  I called again today 7th July to be told it’s still under investigation all they can do is put a note on the system so long story short I’m £98 down no controller no idea what’s happened with it or where it is no updates and extremely annoyed at Microsoft  who ever reads this to respond to me you can keep the controller SEND ME MY MONEY BACK. Please and thank youYours pissedofflyGeorgia,1,2025-07-07T19:13:58.000Z
Craig Howat,Microsoft support is an oxymoron…,Microsoft support is an oxymoron because there's no support or help. Does anyone at Microsoft listen to their customers? I don't think they have a clue. Use AI to support rather than relying on the public to figure out how to use your clunky programs on forums.I look forward to this dinosaur going extinct soon.,1,2025-07-07T16:25:43.000Z
David B,their criminal breakin and damage,"Received a screen blocker with link to Microsoft.  They moved all my critical files to some Microsoft shit and deleted the original. The new program is lousy, slow chaotic and they charged me a fortune for removing their blocking screen. I cannot contact them - they simply b lock everything.  Deserve a minus 5 stars and should be wound up",1,2025-07-06T20:35:02.000Z
Sytse Kempenaar,"Hacked account, kept in database","Been a while now since my account was hacked with a security bypass by Russians, also thanks to G2A.com.When support was contacted and proven it's my account, all they had to say was: 'we know it's your account, but we can't help you.' Reason is that the email for security was changed. A friend's account on Roblox had the same: change in security email. Roblox however changed it to the email used for PayPal in previous payments.So i wonder if they're all just too dumb at Microsoft, or that the hacking was planned.This question also counts for the bypass used. Either Microsoft just let them hack or cooperate on the matter, or their security is simply that terrible that even Russia can get in with ease.",1,2025-08-18T10:01:39.000Z
anthony kendrick,computer will not shurtdown after…,computer will not shurtdown after update  have to force shurtdown ??,1,2025-08-17T21:48:17.000Z
Rita,Microsoft support falls short again,"I struggled with a maddening issue with Outlook 365 where my POP3 account with a new host kept reverting to the previous host’s IMAP settings in my main profile, managing several accounts with years of emails.Microsoft Support was a complete letdown. The agent stuck to basic troubleshooting I’d already exhausted, offering little insight beyond spotting a forgotten Exchange account from an old job. Microsoft’s solution? Create a new profile and export all 7 accounts’ data, a tedious workaround I rejected. When I called it what it was – a workaround – the agent got defensive. Frustrated, I wished them a nice evening and ended the call.Ironically, we found the fix in Microsoft’s own helpfiles: adding DisableOffice365SimplifiedAccountCreation to the registry. This resolved the issue instantly, no thanks to support.Microsoft support’s lack of depth and refusal to escalate forced us to solve it ourselves. Microsoft must empower their team to handle complex issues faster, especially for loyal users with multiple accounts. A disappointing experience – and not my first with their support!",1,2025-08-16T13:12:27.000Z
JoePublic,Awful - Call back service just wastes your time,Awful. I used the call back to request help (it took a lot of searching to get to that point). An automated system promptly called me back and then played distorted music for over 2 hours before I eventually hung up (as they knew I would).,1,2025-08-15T17:57:07.000Z
Stephen Taylor,I can only confirm the many one star…,"I can only confirm the many one star reviews.I understand computers well. I had a simple enquiry.It is near impossible to contact Microsoft customer services (there must be a way, but I could not achieve it). Apple is not much better and I was going to change to android and pc. A rock and a hard place.",1,2025-08-13T20:39:58.000Z
Ian Richardson,Abysmal customer care,"Abysmal trying get anyone who can help get Hotmail account,unlocked,get same point eg phone number it states not working try another method you do goes back same question!try get person or to chat can’t get anywhere because won’t let you sign in?!Awaiting hospital papers can’t get them for 3 weeks now🤬!No customer service just redirects you back to what already have done!!!!!!Before they ask yes I have tried aka.ms🤬🤬🤬🤬🤬",1,2025-08-13T17:11:04.000Z
leongame,Locked my account for no reason,Locked my account for no reason. Stay on 1 star forever,1,2025-08-13T13:25:19.000Z
Alison MacPherson,Rude and unhelpful,"Rude and unhelpful, but wouldn’t let me explain my issue without interrupting- didn’t give me the impression that wanted to understand or help.",1,2025-08-10T15:59:56.000Z
Nigel Clarke,I think it is quite disgraceful that…,"I think it is quite disgraceful that you can't speak to an actual human.  The number of customers they have and the cost of their products, you should be able to get help.  I have 2 phone numbers but both automated and no help whatsoever.  You just go around in circles.  Just proves how much they value their customers.",2,2025-08-10T13:53:44.000Z
SteveL,Microsoft offers ZERO support for their…,Microsoft offers ZERO support for their products.  I have my computer reimaged and have to reinstall a product but my product key is not working.  I have NO ONE to talk to about this.  They keep directing me to a website which does nothing and they have even blocked my phone number from calling back.  It is criminal what they are doing.,1,2025-08-10T02:59:58.000Z
toni bevan,Never buying anything microsoft again,My account is being blocked daily authentication not working . No customer support at all due to not being able to log in and customer support number Is useless as it's automated cant actually get to talk to a human being .,1,2025-08-07T12:44:04.000Z
Gee,MICROSOFT HAS THE WORST CUSTOMER…,MICROSOFT HAS THE WORST CUSTOMER SUPPORT.IM STILL NOT ABLE TO ADD MY ACCOUNTS USING THEIR APP. NO ONE IS WILLING TO HELP,1,2025-08-07T07:36:39.000Z
JONSO,CUSTOMER SERVICES NO GO AREA,"Tried to call microsoft, the answering machine will never direct your call to a person, will ask for your phone number and keeps saying ""number not found"", no option to key in the your phone number for verification. RUBBISH service from a giant company like microsoft, just good at taking subscriptions from people.",1,2025-08-04T13:15:32.000Z
Embajador,I see I'm not alone,"I see I'm not alone.  Only an imbecile would buy a Microsoft product - any product.  I switched to Mac years ago.  They are good.  BUT unfortunately I need Office for Mac. Voluntarily going to Microsoft is like buying a Yugo.  Customer service people, if you can reach them, are illiterate Indians who don't have a clue as to how to solve problems.  Escalation doesn't help.  Then, after an hour, ""my shift is ending"" and abruptly cuts off the call.  This is not serious.  How is Microsoft still in business?",1,2025-08-03T15:13:50.000Z
Larry Sipe,Microsoft Support Does Not Exist,"One star only because I cannot rate -1 star!A 7 year customer of Office 365. Recently my PC crashed, corrupted file. Repaired, reloaded. Try to sign in to Office - password no good, I changed 2 months ago and working fine before. Easy solution, right? Requested a password reset. Asked for email verification - done. Then asked for phone verify - multiple tries each time process failed. Spent 5+ hours with chatbot, agent chat (probably bot) and live help. ALL refer me back to reset password link. Finally just deleted Office 365 and installed a different product. NO SUPPORT. NO INTELLIGENT LIFE AT MICRSOFT, only when billing!",1,2025-08-02T23:07:28.000Z
Michael Pinkowicz,Downloaded game from the Store not working,"Downloaded a game from the Store, doesn't work. The thing that pisses me off, is this so called world leading international  company makes it all but impossible to get a refund. I would say terrible customer service, but i cannot communicate with them about it so i don't know. Anyhow, other subscription's worth far more than the failed game, cancelled so their loss .",1,2025-08-01T20:20:42.000Z
Teegan Klass,Terrible service,Terrible service,1,2025-08-01T01:15:15.000Z
Mr M Rawlings,I posted a highly critical report last…,I posted a highly critical report last week over their failure to remove repeated requests for me to sign up to their Driver Update subscription service. I am pleased to say they have now done so and sent an email to confirm.,4,2025-07-31T19:16:00.000Z
DOROTHY MITCHELL,I want to thank Mahi …,"I want to thank Mahi for taking the time to support me in installing Windows 11  Home on my devices. Mahi was patient and answered all my questions throughout this experience. I give Mahi an A+ in knowledge, patience, and personality. Thank you so very much for your assistance.",5,2025-07-31T06:03:24.000Z
Tyron Mason,Microsoft support doesn't exist,Microsoft will make sure that you either pay your bill or have your service discontinued but they won't lift a finger to make sure the services you pay for will actually work or that you can get support when things don't work.,1,2025-07-28T12:21:06.000Z
Frank Isernio,Customer Service Travesty,Been without the ability to receive or send emails for 9 days! Spent hours trying to contact customer service with no success.This is a travesty and a disgrace to behold. Does anyone have a solution? Frank,1,2025-07-06T03:07:02.000Z
Prazgreen Studios,hard to reach but rewarding when you do,"Getting there is difficult due to the website frontend, but the support agent I got, Swati, is wonderful",4,2025-07-05T00:40:36.000Z
Kerry,Appalling support service.,"I have been trying to access my outlook exchange email for days, I have tried everything suggested by the online support service and it simply does not work, it does not recognise my password, nor does it accept the authenticator.  It is practically impossible to speak to a support assistant. When I finally found a telephone number, it was automated and would not put me through to a person, only referred me to the online support that I had already tried. This is the worse organisation I have ever had the misfortune to deal with. I will have to delete my account.",1,2025-07-04T12:43:25.000Z
Jon holmes,7 Days Without Resolution – Shocking Support from Microsoft,"I’m a small business owner, and Microsoft’s support has been nothing short of appalling.Over the past 7 days, I’ve been passed between multiple helpdesk agents, each telling me to raise yet another ticket with yet another team. No one takes ownership, and no progress is made. The situation remains unresolved and is directly affecting my business operations.I’ve asked repeatedly to escalate the issue. Still, no manager has contacted me, despite requesting urgent contact before 17:00 UK time. The process is disjointed, dismissive, and completely unfit for purpose—especially for business users who rely on Microsoft’s services.Microsoft, your systems have failed me. But worse than that, your support structure is broken. This has caused stress, lost productivity, and damage to my trust in your brand.If you’re a small business considering Microsoft—think twice.",1,2025-07-01T16:49:30.000Z
